LocalDateTime,Flow (cfs),Temperture (C)
2016-10-25 23:00:00,3.907724,9.015000
2016-10-25 23:15:00,3.907724,8.990000
2016-10-25 23:30:00,3.851091,8.916000
2016-10-25 23:45:00,3.907724,8.891000
2016-10-26 00:00:00,3.907724,8.841000
2016-10-26 00:15:00,3.907724,8.792000
2016-10-26 00:30:00,3.907724,8.742000
2016-10-26 00:45:00,3.907724,8.717000
2016-10-26 01:00:00,4.247527,8.693000
2016-10-26 01:15:00,4.304160,8.643000
2016-10-26 01:30:00,4.190893,8.593000
2016-10-26 01:45:00,4.247527,8.543000
2016-10-26 02:00:00,3.426338,8.494000
2016-10-26 02:15:00,3.369704,8.469000
2016-10-26 02:30:00,3.596239,8.444000
2016-10-26 02:45:00,3.794457,8.419000
2016-10-26 03:00:00,3.907724,8.369000
2016-10-26 03:15:00,3.794457,8.319000
2016-10-26 03:30:00,3.652873,8.270000
2016-10-26 03:45:00,3.737823,8.245000
2016-10-26 04:00:00,3.652873,8.195000
2016-10-26 04:15:00,3.851091,8.170000
2016-10-26 04:30:00,3.907724,8.145000
2016-10-26 04:45:00,3.907724,8.095000
2016-10-26 05:00:00,3.907724,8.070000
2016-10-26 05:15:00,3.907724,8.045000
2016-10-26 05:30:00,3.907724,7.995000
2016-10-26 05:45:00,3.907724,7.970000
2016-10-26 06:00:00,3.992675,7.945000
2016-10-26 06:15:00,3.907724,7.895000
2016-10-26 06:30:00,3.992675,7.870000
2016-10-26 06:45:00,3.992675,7.845000
2016-10-26 07:00:00,3.907724,7.795000
2016-10-26 07:15:00,3.794457,7.770000
2016-10-26 07:30:00,3.794457,7.745000
2016-10-26 07:45:00,3.737823,7.695000
2016-10-26 08:00:00,3.794457,7.670000
2016-10-26 08:15:00,3.794457,7.645000
2016-10-26 08:30:00,3.907724,7.594000
2016-10-26 08:45:00,3.907724,7.569000
2016-10-26 09:00:00,3.652873,7.544000
2016-10-26 09:15:00,3.652873,7.519000
2016-10-26 09:30:00,3.539605,7.494000
2016-10-26 09:45:00,3.596239,7.494000
2016-10-26 10:00:00,3.737823,7.469000
2016-10-26 10:15:00,3.737823,7.469000
2016-10-26 10:30:00,3.737823,7.444000
2016-10-26 10:45:00,3.737823,7.444000
2016-10-26 11:00:00,3.737823,7.444000
2016-10-26 11:15:00,3.652873,7.444000
2016-10-26 11:30:00,3.652873,7.469000
2016-10-26 11:45:00,3.652873,7.494000
2016-10-26 12:00:00,3.652873,7.519000
2016-10-26 12:15:00,3.652873,7.519000
2016-10-26 12:30:00,3.794457,7.544000
2016-10-26 12:45:00,3.794457,7.544000
2016-10-26 13:00:00,3.851091,7.569000
2016-10-26 13:15:00,3.907724,7.594000
2016-10-26 13:30:00,3.992675,7.619000
2016-10-26 13:45:00,3.992675,7.645000
2016-10-26 14:00:00,3.992675,7.645000
2016-10-26 14:15:00,3.992675,7.695000
2016-10-26 14:30:00,3.992675,7.770000
2016-10-26 14:45:00,3.992675,7.845000
2016-10-26 15:00:00,3.992675,7.895000
2016-10-26 15:15:00,3.907724,7.970000
2016-10-26 15:30:00,3.907724,8.045000
2016-10-26 15:45:00,3.907724,8.095000
2016-10-26 16:00:00,3.907724,8.145000
2016-10-26 16:15:00,3.851091,8.220000
2016-10-26 16:30:00,3.794457,8.295000
2016-10-26 16:45:00,3.737823,8.344000
2016-10-26 17:00:00,3.737823,8.419000
2016-10-26 17:15:00,3.794457,8.444000
2016-10-26 17:30:00,3.794457,8.494000
2016-10-26 17:45:00,3.737823,8.543000
2016-10-26 18:00:00,3.737823,8.568000
2016-10-26 18:15:00,3.652873,8.568000
2016-10-26 18:30:00,3.794457,8.593000
2016-10-26 18:45:00,3.737823,8.593000
2016-10-26 19:00:00,3.737823,8.618000
2016-10-26 19:15:00,3.737823,8.618000
2016-10-26 19:30:00,3.794457,8.643000
2016-10-26 19:45:00,3.737823,8.643000
2016-10-26 20:00:00,3.737823,8.643000
2016-10-26 20:15:00,3.737823,8.618000
2016-10-26 20:30:00,3.794457,8.593000
2016-10-26 20:45:00,3.794457,8.568000
2016-10-26 21:00:00,3.794457,8.543000
2016-10-26 21:15:00,3.851091,8.494000
2016-10-26 21:30:00,3.907724,8.444000
2016-10-26 21:45:00,3.992675,8.394000
2016-10-26 22:00:00,3.992675,8.344000
2016-10-26 22:15:00,3.992675,8.295000
2016-10-26 22:30:00,3.907724,8.270000
2016-10-26 22:45:00,3.992675,8.245000
2016-10-26 23:00:00,3.907724,8.195000
2016-10-26 23:15:00,3.794457,8.170000
2016-10-26 23:30:00,3.794457,8.120000
2016-10-26 23:45:00,3.794457,8.095000
2016-10-27 00:00:00,3.652873,8.070000
2016-10-27 00:15:00,3.737823,8.045000
2016-10-27 00:30:00,3.737823,8.020000
2016-10-27 00:45:00,3.737823,7.995000
2016-10-27 01:00:00,3.652873,7.970000
2016-10-27 01:15:00,3.652873,7.945000
2016-10-27 01:30:00,3.794457,7.920000
2016-10-27 01:45:00,3.737823,7.870000
2016-10-27 02:00:00,3.652873,7.845000
2016-10-27 02:15:00,3.652873,7.820000
2016-10-27 02:30:00,3.652873,7.795000
2016-10-27 02:45:00,3.737823,7.795000
2016-10-27 03:00:00,3.794457,7.745000
2016-10-27 03:15:00,3.794457,7.720000
2016-10-27 03:30:00,3.907724,7.695000
2016-10-27 03:45:00,3.907724,7.670000
2016-10-27 04:00:00,4.105942,7.645000
2016-10-27 04:15:00,4.304160,7.594000
2016-10-27 04:30:00,4.190893,7.569000
2016-10-27 04:45:00,4.190893,7.544000
2016-10-27 05:00:00,4.190893,7.519000
2016-10-27 05:15:00,3.907724,7.494000
2016-10-27 05:30:00,3.426338,7.494000
2016-10-27 05:45:00,3.794457,7.494000
2016-10-27 06:00:00,4.049309,7.469000
2016-10-27 06:15:00,4.049309,7.444000
2016-10-27 06:30:00,3.907724,7.419000
2016-10-27 06:45:00,3.907724,7.393000
2016-10-27 07:00:00,3.907724,7.393000
2016-10-27 07:15:00,3.851091,7.368000
2016-10-27 07:30:00,3.992675,7.343000
2016-10-27 07:45:00,3.992675,7.343000
2016-10-27 08:00:00,3.907724,7.318000
2016-10-27 08:15:00,3.992675,7.293000
